,date_id,day,week,month,year,season,weekend,weekday,quarter,semester,holiday
242,29062017,29,5,6,2017,Summer,Work Day,Thursday,Q2,S1,Not Holiday
243,1102018,1,1,10,2018,Autumn,Work Day,Monday,Q4,S2,Not Holiday
244,24092018,24,5,9,2018,Autumn,Work Day,Monday,Q3,S2,Not Holiday
245,22042014,22,4,4,2014,Spring,Work Day,Tuesday,Q2,S1,Not Holiday
250,7012013,7,2,1,2013,Winter,Work Day,Monday,Q1,S1,Not Holiday
251,27052016,27,5,5,2016,Spring,Work Day,Friday,Q2,S1,Not Holiday
252,28122017,28,5,12,2017,Winter,Work Day,Thursday,Q4,S2,Not Holiday
253,12062013,12,3,6,2013,Summer,Work Day,Wednesday,Q2,S1,Not Holiday
259,4122014,4,1,12,2014,Winter,Work Day,Thursday,Q4,S2,Not Holiday
261,6072018,6,2,7,2018,Summer,Work Day,Friday,Q3,S2,Not Holiday
265,11072017,11,3,7,2017,Summer,Work Day,Tuesday,Q3,S2,Not Holiday
266,18062013,18,4,6,2013,Summer,Work Day,Tuesday,Q2,S1,Not Holiday
267,4082016,4,1,8,2016,Summer,Work Day,Thursday,Q3,S2,Not Holiday
268,21062017,21,4,6,2017,Summer,Work Day,Wednesday,Q2,S1,Not Holiday
269,10032015,10,3,3,2015,Spring,Work Day,Tuesday,Q1,S1,Not Holiday
270,11032015,11,3,3,2015,Spring,Work Day,Wednesday,Q1,S1,Not Holiday
271,29012015,29,5,1,2015,Winter,Work Day,Thursday,Q1,S1,Not Holiday
272,28012015,28,5,1,2015,Winter,Work Day,Wednesday,Q1,S1,Not Holiday
273,1102014,1,1,10,2014,Autumn,Work Day,Wednesday,Q4,S2,Not Holiday
274,25052012,25,4,5,2012,Spring,Work Day,Friday,Q2,S1,Not Holiday
275,9092014,9,2,9,2014,Autumn,Work Day,Tuesday,Q3,S2,Not Holiday
277,23062017,23,4,6,2017,Summer,Work Day,Friday,Q2,S1,Not Holiday
278,16032016,16,3,3,2016,Spring,Work Day,Wednesday,Q1,S1,Not Holiday
279,1022016,1,1,2,2016,Winter,Work Day,Monday,Q1,S1,Not Holiday
280,11052012,11,2,5,2012,Spring,Work Day,Friday,Q2,S1,Not Holiday
282,29052015,29,5,5,2015,Spring,Work Day,Friday,Q2,S1,Not Holiday
283,25062018,25,5,6,2018,Summer,Work Day,Monday,Q2,S1,Not Holiday
284,13052015,13,3,5,2015,Spring,Work Day,Wednesday,Q2,S1,Not Holiday
285,26032019,26,5,3,2019,Spring,Work Day,Tuesday,Q1,S1,Not Holiday
286,1072014,1,1,7,2014,Summer,Work Day,Tuesday,Q3,S2,Not Holiday
288,15032016,15,3,3,2016,Spring,Work Day,Tuesday,Q1,S1,Not Holiday
291,30072015,30,5,7,2015,Summer,Work Day,Thursday,Q3,S2,Not Holiday
293,21112019,21,4,11,2019,Autumn,Work Day,Thursday,Q4,S2,Not Holiday
295,4042012,4,2,4,2012,Spring,Work Day,Wednesday,Q2,S1,Not Holiday
297,30082018,30,5,8,2018,Summer,Work Day,Thursday,Q3,S2,Not Holiday
299,14092017,14,3,9,2017,Autumn,Work Day,Thursday,Q3,S2,Not Holiday
300,6072017,6,2,7,2017,Summer,Work Day,Thursday,Q3,S2,Not Holiday
302,27092012,27,5,9,2012,Autumn,Work Day,Thursday,Q3,S2,Not Holiday
304,21122015,21,4,12,2015,Winter,Work Day,Monday,Q4,S2,Not Holiday
306,30072012,30,6,7,2012,Summer,Work Day,Monday,Q3,S2,Not Holiday
307,13102014,13,3,10,2014,Autumn,Work Day,Monday,Q4,S2,Not Holiday
311,11022015,11,3,2,2015,Winter,Work Day,Wednesday,Q1,S1,Not Holiday
312,18092019,18,4,9,2019,Autumn,Work Day,Wednesday,Q3,S2,Not Holiday
314,6072016,6,2,7,2016,Summer,Work Day,Wednesday,Q3,S2,Not Holiday
316,25052015,25,5,5,2015,Spring,Work Day,Monday,Q2,S1,Not Holiday
318,12022015,12,3,2,2015,Winter,Work Day,Thursday,Q1,S1,Not Holiday
319,12022018,12,3,2,2018,Winter,Work Day,Monday,Q1,S1,Not Holiday
320,13082015,13,3,8,2015,Summer,Work Day,Thursday,Q3,S2,Not Holiday
321,10012018,10,2,1,2018,Winter,Work Day,Wednesday,Q1,S1,Not Holiday
324,5022017,5,1,2,2017,Winter,Weekend,Sunday,Q1,S1,Not Holiday
325,20042016,20,4,4,2016,Spring,Work Day,Wednesday,Q2,S1,Not Holiday
326,25052019,25,4,5,2019,Spring,Weekend,Saturday,Q2,S1,Not Holiday
327,10042018,10,3,4,2018,Spring,Work Day,Tuesday,Q2,S1,Holiday
328,12022016,12,2,2,2016,Winter,Work Day,Friday,Q1,S1,Not Holiday
330,19012015,19,4,1,2015,Winter,Work Day,Monday,Q1,S1,Not Holiday
332,26072013,26,4,7,2013,Summer,Work Day,Friday,Q3,S2,Not Holiday
333,27092017,27,5,9,2017,Autumn,Work Day,Wednesday,Q3,S2,Not Holiday
335,20052015,20,4,5,2015,Spring,Work Day,Wednesday,Q2,S1,Not Holiday
336,19122017,19,4,12,2017,Winter,Work Day,Tuesday,Q4,S2,Not Holiday
337,11052018,11,2,5,2018,Spring,Work Day,Friday,Q2,S1,Not Holiday
338,22032017,22,4,3,2017,Spring,Work Day,Wednesday,Q1,S1,Not Holiday
340,26112014,26,5,11,2014,Autumn,Work Day,Wednesday,Q4,S2,Not Holiday
342,3122014,3,1,12,2014,Winter,Work Day,Wednesday,Q4,S2,Not Holiday
343,22042016,22,4,4,2016,Spring,Work Day,Friday,Q2,S1,Not Holiday
349,9012015,9,2,1,2015,Winter,Work Day,Friday,Q1,S1,Not Holiday
350,15012018,15,3,1,2018,Winter,Work Day,Monday,Q1,S1,Not Holiday
351,14122014,14,2,12,2014,Winter,Weekend,Sunday,Q4,S2,Not Holiday
354,29042015,29,5,4,2015,Spring,Work Day,Wednesday,Q2,S1,Not Holiday
355,8062016,8,2,6,2016,Summer,Work Day,Wednesday,Q2,S1,Not Holiday
356,18052016,18,4,5,2016,Spring,Work Day,Wednesday,Q2,S1,Not Holiday
360,19122016,19,4,12,2016,Winter,Work Day,Monday,Q4,S2,Not Holiday
361,19052015,19,4,5,2015,Spring,Work Day,Tuesday,Q2,S1,Not Holiday
362,14062016,14,3,6,2016,Summer,Work Day,Tuesday,Q2,S1,Not Holiday
364,24022016,24,4,2,2016,Winter,Work Day,Wednesday,Q1,S1,Holiday
365,10012013,10,2,1,2013,Winter,Work Day,Thursday,Q1,S1,Not Holiday
376,4112014,4,2,11,2014,Autumn,Work Day,Tuesday,Q4,S2,Not Holiday
377,27022017,27,5,2,2017,Winter,Work Day,Monday,Q1,S1,Not Holiday
379,24082017,24,4,8,2017,Summer,Work Day,Thursday,Q3,S2,Not Holiday
380,27052015,27,5,5,2015,Spring,Work Day,Wednesday,Q2,S1,Not Holiday
381,5052014,5,2,5,2014,Spring,Work Day,Monday,Q2,S1,Not Holiday
382,17062010,17,3,6,2010,Summer,Work Day,Thursday,Q2,S1,Not Holiday
383,24052016,24,5,5,2016,Spring,Work Day,Tuesday,Q2,S1,Not Holiday
385,28072016,28,5,7,2016,Summer,Work Day,Thursday,Q3,S2,Not Holiday
387,19022015,19,4,2,2015,Winter,Work Day,Thursday,Q1,S1,Not Holiday
388,3062016,3,1,6,2016,Summer,Work Day,Friday,Q2,S1,Not Holiday
389,6082015,6,2,8,2015,Summer,Work Day,Thursday,Q3,S2,Not Holiday
390,10032017,10,2,3,2017,Spring,Work Day,Friday,Q1,S1,Not Holiday
392,24102013,24,4,10,2013,Autumn,Work Day,Thursday,Q4,S2,Not Holiday
393,4052016,4,2,5,2016,Spring,Work Day,Wednesday,Q2,S1,Not Holiday
394,13122016,13,3,12,2016,Winter,Work Day,Tuesday,Q4,S2,Not Holiday
395,26102017,26,5,10,2017,Autumn,Work Day,Thursday,Q4,S2,Not Holiday
396,8102015,8,2,10,2015,Autumn,Work Day,Thursday,Q4,S2,Not Holiday
397,26082017,26,4,8,2017,Summer,Weekend,Saturday,Q3,S2,Not Holiday
424,4062017,4,1,6,2017,Summer,Weekend,Sunday,Q2,S1,Not Holiday
426,5092017,5,2,9,2017,Autumn,Work Day,Tuesday,Q3,S2,Not Holiday
428,30032016,30,5,3,2016,Spring,Work Day,Wednesday,Q1,S1,Not Holiday
429,2082017,2,1,8,2017,Summer,Work Day,Wednesday,Q3,S2,Not Holiday
430,30102015,30,5,10,2015,Autumn,Work Day,Friday,Q4,S2,Not Holiday
432,12012015,12,3,1,2015,Winter,Work Day,Monday,Q1,S1,Not Holiday
434,6122012,6,2,12,2012,Winter,Work Day,Thursday,Q4,S2,Not Holiday
439,27112017,27,5,11,2017,Autumn,Work Day,Monday,Q4,S2,Not Holiday
440,6012017,6,2,1,2017,Winter,Work Day,Friday,Q1,S1,Not Holiday
441,19012018,19,3,1,2018,Winter,Work Day,Friday,Q1,S1,Not Holiday
443,19042018,19,4,4,2018,Spring,Work Day,Thursday,Q2,S1,Not Holiday
