street,street_type,zip_code,parish,county,coastal_area
"PRAÇA 5 DE OUTUBRO, ""VILA MARIA",Praça,2775-184,Parede,Cascais,Coastal Area
1ª TRAVESSA DA BOA-HORA À AJUDA,Travessa,1300-104,Lisboa,Lisboa,Coastal Area
RUA MANUEL JOAQUIM GAMA MACHADO,Rua,2750-422,Cascais,Cascais,Coastal Area
TRAVESSA CONVENTO DA ENCARNAÇÃO,Travessa,1150-116,Lisboa,Lisboa,Coastal Area
1ª RUA TELHEIROS DE SÃO VICENTE,,1100-593,Lisboa,Lisboa,Coastal Area
LARGO SÃO SEBASTIÃO DA PEDREIRA,Largo,1050-205,Lisboa,Lisboa,Coastal Area
TRAVESSA VALE GRANDE LIGHTHOUSE,Rua,2655-464,Ericeira,Mafra,Coastal Area
RUA PROFESSOR DOUTOR EGAS MONIZ,Rua,2765-218,Estoril,Cascais,Coastal Area
AVENIDA MOUZINHO DE ALBUQUERQUE,Avenida,1170-263,Lisboa,Lisboa,Coastal Area
BECO VERÓNICA 1 AG/FURTADA DTO.,Beco,1170-383,Lisboa,Lisboa,Coastal Area
RUA DAS FONTAÍNHAS SÃO LOURENÇO,Rua,1100-246,Lisboa,Lisboa,Coastal Area
VILA SANTOS À CALÇADA QUINTINHA,Vila,1070-221,Lisboa,Lisboa,Coastal Area
RUA DOUTOR ANTÓNIO BENTO FRANCO,Rua,2655-231,Ericeira,Mafra,Coastal Area
AVENIDA CIDADE LOURENÇO MARQUES,Avenida,1800-093,Lisboa,Lisboa,Coastal Area
