fk,listings_id
82,37966517
83,35613515
83,29684238
83,18765200
83,23983557
83,27020090
83,15035043
83,14834129
83,18319069
84,37327819
84,26630922
85,20929345
86,26565445
86,39330554
87,3249566
88,31784801
88,3888564
88,35398211
89,18651187
90,12597668
90,33905733
91,23260836
91,26333843
92,17823341
93,13432807
93,12334745
93,29483652
94,1197772
95,24683012
95,36020012
96,22411058
96,25402566
96,9988002
96,18157588
96,33335825
96,5755563
96,31802319
96,27010797
96,36548109
96,37034474
96,18356005
96,21304870
96,36243379
96,19129375
96,19841988
96,21469312
96,24265856
96,26144051
96,35024360
96,35577076
96,22538497
96,19108813
96,15644079
96,15643056
96,15598426
96,34561553
96,23148207
96,19119700
96,2358037
96,11706638
96,24510953
97,24787778
97,2670755
97,16528904
98,34779776
99,12770900
99,35560412
99,18251506
100,35877575
101,19932228
102,48854
103,3929819
104,34274913
104,33703473
104,33395349
104,32007520
104,29703078
104,25762302
104,20406957
104,16647368
104,3929465
104,20188322
104,30309036
104,30309732
104,30310179
105,439888
105,39766824
105,21720833
105,23036685
105,23553084
105,27057242
105,17666948
105,15972257
106,28329493
107,20669893
108,30757283
108,7434304
108,15463071
108,16439706
108,1415628
108,10362204
108,9252120
108,6519368
108,5789942
108,23318209
108,4899809
108,11161151
108,40782558
108,41759640
108,41759639
108,36228861
108,14994255
108,29749717
108,22338559
108,18173276
108,16822085
108,16551573
108,16479025
108,41759642
109,27350960
109,27393067
109,27392780
109,27392405
110,3061212
110,9572664
110,9114951
110,6316727
110,5771322
110,3489285
110,15883078
110,24671223
110,39603306
110,40527354
110,39907556
110,40110700
110,22715002
110,39907249
111,6117462
111,6138563
111,6139039
111,6075384
112,27925430
112,27766775
113,33686984
114,795692
114,20701981
114,18730186
114,15725379
114,7051923
114,30148550
114,36411644
114,40794461
114,40794019
114,1215943
114,1259541
114,1335303
114,20098324
114,6472851
114,11998266
114,13055012
114,13230933
114,14149914
114,18909406
114,33332667
114,34190212
114,172638
114,41759628
114,29903149
114,24820380
115,2076697
115,2121807
115,25176222
115,25199767
115,25202422
115,39912922
115,1526112
115,2074044
115,1526014
115,1346433
116,37484351
116,14140780
116,20229419
117,9744220
117,7114383
117,2598381
117,39459359
118,33157792
119,31754489
119,35440053
120,5760938
121,29775576
121,27955763
121,27959738
122,40190735
123,11835069
123,11981385
123,11988566
123,11988974
123,11989420
123,12005482
123,14894072
124,18847398
125,35152476
125,37389886
125,37390606
125,38404211
126,19707228
127,36101707
127,36102386
127,36102588
128,14477126
129,33064265
129,32879933
129,35636446
129,35614655
129,26212416
129,24442747
129,14687221
130,26826071
131,6890986
131,13471770
132,12782269
133,21907146
133,11162813
134,2907184
134,7633861
134,25397800
134,35994903
135,23422882
135,26084362
135,29232071
135,26461587
135,8020204
136,17622173
136,36381838
136,36698421
136,27216154
136,27215747
136,27214420
136,27213887
136,27193408
136,27193244
136,27212289
136,27190385
136,27190685
136,27192799
136,27193742
136,27193585
136,27193079
136,35184491
136,27193575
136,27193310
137,24464566
138,16952147
139,17356619
139,37870081
139,2833451
139,25044545
139,19655365
139,18542076
139,1222023
140,21992041
141,27308097
141,18976631
142,6479840
143,39132339
143,36807814
144,28689595
145,25076368
146,21420777
147,35906341
147,24160336
148,41771240
149,40780187
150,38131491
150,20653571
150,26638230
151,26866869
151,7709126
151,7589103
151,39165513
151,32152833
151,37196130
152,10677809
153,14488090
154,29070203
155,23429374
155,38114096
155,35158150
155,33718716
155,33718497
155,33716942
155,33718243
155,33718016
155,38201231
156,7062449
156,19009188
156,19009265
156,19780745
156,21403165
156,19009168
157,13010122
157,24482489
157,19504045
157,8113565
157,7919217
157,28560028
157,35561878
157,32814930
157,32512926
157,32839338
157,40418534
157,33056773
157,31644793
157,22793179
157,22477578
157,38395614
157,28273150
157,12914049
158,29529619
158,25370769
158,25373800
158,25373150
158,25371546
158,25371303
158,25370218
158,24908082
158,10720529
158,14477280
158,21004075
158,29916007
158,9018579
158,8946693
158,40678063
158,6184676
158,12098219
158,7942820
158,7929841
158,7929821
158,7917500
158,6141024
158,7912941
158,16706156
158,6182803
158,6189888
158,6622488
158,6473103
158,7737202
158,14012440
158,40891945
158,14458114
158,40772201
158,14720730
