property_type_category,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type
Apartment,Serviced apartment,Entire home/apt,Up to 7 guests or more,4+ bathrooms,T3,4+ beds,Real Bed
Apartment,Apartment,Entire home/apt,Up to 4 guests,3 bathrooms,T1,1 bed,Real Bed
Hotel/Hostel,Boutique hotel,Hotel room,Up to 4 guests,2 bathrooms,T2,2 beds,Real Bed
Hotel/Hostel,Hostel,Hotel room,Up to 2 guests,1 bathroom,T1,4+ beds,Real Bed
Hotel/Hostel,Hostel,Hotel room,Up to 4 guests,2 bathrooms,T1,3 beds,Real Bed
Hotel/Hostel,Hostel,Private room,Up to 4 guests,1 bathroom,T1,1 bed,Real Bed
House,House,Entire home/apt,Up to 7 guests or more,2 bathrooms,T4+,3 beds,Real Bed
Apartment,Loft,Entire home/apt,Up to 4 guests,1 bathroom,T0,4+ beds,Real Bed
Apartment,Serviced apartment,Private room,Up to 2 guests,1 bathroom,T1,2 beds,Real Bed
Hotel/Hostel,Boutique hotel,Private room,Up to 6 guests,1 bathroom,T1,4+ beds,Real Bed
Hotel/Hostel,Boutique hotel,Private room,Up to 4 guests,1 bathroom,T1,4+ beds,Real Bed
Apartment,Aparthotel,Private room,Up to 4 guests,1 bathroom,T0,No beds,Real Bed
Apartment,Aparthotel,Private room,Up to 6 guests,1 bathroom,T0,No beds,Real Bed
Apartment,Aparthotel,Private room,Up to 7 guests or more,1 bathroom,T0,No beds,Real Bed
House,Farm stay,Private room,Up to 2 guests,1 bathroom,T1,1 bed,Real Bed
Apartment,Apartment,Shared room,Up to 6 guests,1 bathroom,T1,4+ beds,Real Bed
House,House,Shared room,Up to 2 guests,2 bathrooms,T1,1 bed,Real Bed
Apartment,Apartment,Private room,Up to 4 guests,1 bathroom,T3,4+ beds,Real Bed
House,Villa,Entire home/apt,Up to 7 guests or more,3 bathrooms,T3,3 beds,Real Bed
Apartment,Serviced apartment,Entire home/apt,Up to 2 guests,1 bathroom,T1,No beds,Real Bed
Guesthouse,Guesthouse,Entire home/apt,Up to 7 guests or more,2 bathrooms,T3,4+ beds,Real Bed
