,year,parish,count,property_type_category,cp
596520,2018,Portela,3,Apartment,4540-236
596990,2019,Portela,1,Apartment,4540-236
597460,2017,Porto Salvo,1,House,2740-315
597701,2018,Porto Salvo,1,Apartment,2740-315
597942,2017,Póvoa de Santo Adrião,4,Apartment,2620-139
598083,2019,Póvoa de Santo Adrião,1,Apartment,2620-139
598224,2017,Pragança,1,House,2550-371
598225,2018,Pragança,1,House,2550-371
598226,2017,Praia Azul,1,House,2560-396
598227,2018,Praia Azul,1,House,2560-396
598228,2017,Prior Velho,1,Apartment,2685-384
598400,2017,Rinchoa,1,Apartment,2635-593
598545,2018,Rinchoa,1,Apartment,2635-593
598690,2017,Rio de Mouro,1,Apartment,2635-177
598966,2017,Rio de Mouro,3,Guesthouse,2635-177
599242,2018,Rio de Mouro,1,Apartment,2635-177
599518,2019,Rio de Mouro,1,Apartment,2635-177
599794,2019,Rio de Mouro,1,House,2635-177
600070,2017,Sacavém,6,Apartment,2685-14
600308,2018,Sacavém,2,Apartment,2685-14
600546,2017,Santo Isidoro,1,House,2640-48
600698,2018,Santo Isidoro,3,House,2640-48
600850,2019,Santo Isidoro,1,House,2640-48
601002,2017,São Marcos,1,Apartment,3850-240
601090,2019,São Marcos,1,Apartment,3850-240
601178,2017,Sobral de Monte Agraço,1,House,2590-54
601343,2017,Sobrena,1,House,2550-458
601344,2017,Soupo,1,House,2580-157
601345,2017,Tagarro,2,House,2065-201
601405,2017,Toxofal de Cima,1,House,2530-319
601406,2017,Valbom,1,House,7750-54
601672,2017,Varge Mondar,1,House,2635-530
601711,2017,Várzea de Sintra,1,House,2710-664
601787,2018,Várzea de Sintra,4,House,2710-664
601863,2019,Várzea de Sintra,1,House,2710-664
601939,2017,Zambujal,1,House,7750-228
602054,2018,Almorquim,2,House,2705-834
602055,2018,Amoreira,1,Apartment,6150-313
602306,2018,Amoreira,1,Guesthouse,6150-313
602557,2018,Apelação,1,Apartment,2680-325
602647,2018,Arneiro de Arreganha,1,House,2705-408
602654,2018,Arruda dos Vinhos,1,House,2630-192
602901,2018,Baleia,1,House,2655-129
602942,2018,Barcarena,1,Apartment,2730-305
603045,2018,Bracial,1,House,3060-584
603047,2018,Bucelas,2,House,2674-508
603183,2018,Cardosas,1,House,2630-433
603246,2018,Casal de Cambra,5,House,2605-895
603506,2018,Casal do Labrusque,1,House,2530-56
603507,2018,Chã,2,House,4540-30
603576,2018,Coutada,1,House,4850-288
603639,2018,Fontelas,2,House,4860-280
603745,2018,Freiria,1,House,4740-437
603829,2018,Gradil,1,House,2665-142
603899,2018,Lameiras,1,House,3740-41
603955,2018,Livramento,1,House,2480-162
604087,2018,Maceira,1,Apartment,5335-135
604234,2018,Madorna,1,House,2785-760
604283,2018,Manique,1,House,2645-458
604385,2018,Mercês,3,Apartment,7160-15
604463,2018,Monte Leite,1,Apartment,2765-281
604479,2018,Murtal,1,Guesthouse,3250-417
604577,2019,Murtal,1,Guesthouse,3250-417
604675,2019,Murtal,2,House,3250-417
604773,2018,Odivelas,7,Apartment,7900-374
605436,2018,Odivelas,1,House,7900-374
606099,2019,Odivelas,3,Apartment,7900-374
606762,2018,Outeiro de Polima,1,Apartment,2785-513
606834,2018,Pai do Vento,2,Apartment,2755-273
606864,2019,Pai do Vento,5,Apartment,2755-273
606894,2018,Picanceira,1,House,2640-71
606895,2018,Queijas,1,Apartment,2790-388
607040,2018,Ramada,1,House,4520-158
607495,2018,Rana,1,Apartment,2785-563
